,subjID,surveyID,resp_iscorrect,verif_rt,descr_rt,T_verb,P_type,syn_voice,syn_corr,verif_ans,P_sentence,clear_responses,isactive.raw,isactive.checked,error_type
1,1,054o3ell20190406,1,7.270833333,8.645833333,kiss,AC,A,C,1,The artist kisses the ballerina.,The nun kisses the boxer.,1,1,0
2,1,054o3ell20190406,1,5.145833333,10.785,pull,PI,P,I,0,The waitress is pullen by the pirate.,The boxer is pulling the clown.,1,1,0
3,1,054o3ell20190406,1,4.959166667,8.954166667,touch,AI,A,I,0,The waitress touch the professor.,The sailor touches the diver.,1,1,0
4,1,054o3ell20190406,1,4.060833333,9.894166667,kick,PI,P,I,0,The clown is kicken by the nun.,The waitress kicks the robber.,1,1,0
5,1,054o3ell20190406,1,8.186666667,7.943333333,slap,AC,A,C,0,The cowboy slaps the ballerina.,The officer slaps the boxer.,1,1,0
6,1,054o3ell20190406,1,3.7525,8.38,follow,PC,P,C,1,The ballerina is followed by the pirate.,The nun is following the soldier.,1,1,0
7,1,054o3ell20190406,0,6.630833333,8.6175,push,AI,A,I,1,The chef push the clown.,The cowboy pushes the diver.,1,1,0
8,1,054o3ell20190406,0,3.9275,8.45,shot,PI,P,I,1,The ballerina is shooted by the artist.,The chef shoots the diver.,1,1,0
9,1,054o3ell20190406,1,3.979166667,7.083333333,punch,AC,A,C,1,The cowboy punches the swimmer.,The artist punches the clown.,1,1,0
10,1,054o3ell20190406,0,4.580833333,7.036666667,touch,PI,P,I,1,The doctor is touchen by the waitress.,The sailor touches the clown.,1,1,0
11,1,054o3ell20190406,1,2.4275,9.466666667,scold,AC,A,C,1,The policeman scolds the doctor.,The professor scolds the sailor.,1,1,0
12,1,054o3ell20190406,1,2.525,8.26,kiss,PC,P,C,1,The boxer is kissed by the artist.,The nun kisses the ballerina,1,1,0
13,1,054o3ell20190406,1,3.655,6.5,shoot,AI,A,I,0,The actress shoot the robber.,The chef shoots the boxer.,1,1,0
14,1,054o3ell20190406,1,4.02,6.961666667,kiss,PC,P,C,0,The monk is kissed by the swimmer.,The artist kisses the clown.,1,1,0
15,1,054o3ell20190406,0,2.3925,8.096666667,kick,AI,A,I,1,The policeman kick the boxer.,The waitress kicks the clown.,1,1,0
16,1,054o3ell20190406,1,3.321666667,8.835,punch,PC,P,C,0,The policeman is punched by the artist.,The cowboy punches the ballerina.,1,1,0
17,1,054o3ell20190406,1,2.276666667,7.506666667,chase,AC,A,C,1,The nun chases the sailor.,The officer chases the robber.,1,1,0
18,1,054o3ell20190406,1,2.488333333,7.866666667,chase,PC,P,C,0,The swimmer is chased by the nun.,The waitress chases the doctor.,1,1,0
19,1,054o3ell20190406,1,2.4825,9.11,tickle,AI,A,I,0,The soldier tickle the boxer.,The maid tickles the doctor.,1,1,0
20,1,054o3ell20190406,1,2.6425,6.1325,punch,PC,P,C,1,The ballerina is punched by the artist.,The cowboy punches the doctor.,1,1,0
21,1,054o3ell20190406,1,2.255833333,8.306666667,follow,AC,A,C,1,The nun follows the doctor.,The pirate follows the soldier.,1,1,0
22,1,054o3ell20190406,1,3.145833333,6.7475,slap,PC,P,C,1,The clown is slapped by the policeman.,The cowboy slaps the sailor.,1,1,0
23,1,054o3ell20190406,1,1.976666667,7.21,slap,AC,A,C,1,The cowboy slaps the professor.,The officer slaps the swimmer.,1,1,0
24,1,054o3ell20190406,1,3.045833333,8.905833333,scold,PC,P,C,0,The monk is scolded by the swimmer.,The professor scolds the soldier.,1,1,0
25,1,054o3ell20190406,1,1.841666667,8.645,follow,AC,A,C,0,The nun follows the cowboy.,The pirate follows the doctor.,1,1,0
26,1,054o3ell20190406,1,1.829166667,6.2575,scold,PC,P,C,1,The doctor is scolded by the professor.,The officer scolds the boxer.,1,1,0
27,1,054o3ell20190406,1,1.380833333,9.605,scold,AC,A,C,0,The waitress scolds the boxer.,The officer scolds the ballerina.,1,1,0
28,1,054o3ell20190406,1,2.339166667,6.87,follow,PC,P,C,0,The ballerina is followed by the pirate.,The nun follows the boxer.,1,1,0
29,1,054o3ell20190406,1,1.6025,6.899166667,chase,AC,A,C,0,The policeman chases the robber.,The officer chases the swimmer.,1,1,0
30,1,054o3ell20190406,1,2.276666667,8.02,chase,PC,P,C,1,The monk is chased by the policeman.,The pirate chases the robber.,1,1,0
31,1,054o3ell20190406,1,2.073333333,7.875,kiss,AC,A,C,0,The pirate kisses the clown.,The artist kisses the soldier.,1,1,0
32,1,054o3ell20190406,1,2.0325,10.0425,slap,PC,P,C,0,The nurse is slapped by  the policeman.,The cowboy slaps the ballerina,1,1,0
33,1,054o3ell20190406,0,3.760833333,7.708333333,pull,AI,A,I,1,The boxer pull the soldier.,The pirate pulls the ballerina.,1,1,0
34,1,054o3ell20190406,0,2.0725,7.538333333,tickle,PI,P,I,1,The robber is ticklen by the soldier.,The maid tickles the monk.,1,1,0
35,1,054o3ell20190406,1,1.796666667,6.0725,punch,AC,A,C,0,The cowboy punches the nun.,The artist punches the monk.,1,1,0
