"","surveyID","P_type","verif_ans","P_sentence","clear_responses","ispo","resp_iscorrect","ispo.nocheck","old"
"1","0uj1405b20200308","DOC","y","The bartender handed the customer the cocktail.","A man hands a clown a hat.",0,TRUE,0,TRUE
"2","0uj1405b20200308","POI","n","The swimmer handed the towel to they driver.","A girl hands a man a brush.",0,TRUE,0,TRUE
"3","0uj1405b20200308","DOC","y","The fashion designer gave the famous journalist the pink jacket.","A nurse gives a man food.",0,TRUE,0,TRUE
"4","0uj1405b20200308","POI","n","The eager boyfriend handed the box of flowers to them girlfriend.","A girl hands a man a plate.",0,TRUE,0,TRUE
"5","0uj1405b20200308","DOI","n","The disgruntled employee gave the manager them long letter.","The officer gives the boy a ticket.",0,TRUE,0,TRUE
"6","0uj1405b20200308","POC","y","The good looking bartender handed free drinks to the girls at the bar.","The girl gave her pupil a letter.",0,TRUE,0,TRUE
"7","0uj1405b20200308","DOC","y","The happy child showed her father the coloring book.","The man shows the customer a gun.",0,TRUE,0,TRUE
"8","0uj1405b20200308","POC","y","The architect showed the model of the building to the architect.","A woman shows a man a dress.",0,FALSE,0,TRUE
"9","0uj1405b20200308","DOI","n","The secretary handed the manager they invoice.","The librarian hands over a book.",NA,TRUE,0,TRUE
"10","0uj1405b20200308","POI","n","The millionaire gave the valuable painting to they struggling artist.","The student gives the teacher flowers.",0,TRUE,0,TRUE
"11","0uj1405b20200308","DOI","n","The captain gave the old sailor they spare life jacket.","They gave him a cake.",0,TRUE,0,TRUE
"12","0uj1405b20200308","POC","y","The travel agent gave the last ticket to the young fan.","A boy gives a girl a card.",0,TRUE,0,TRUE
"13","0uj1405b20200308","DOC","y","The teacher handed the student the certificate.","The boy handed the rock star a guitar.",0,TRUE,0,TRUE
"14","0uj1405b20200308","POC","y","The mean neighbor handed a nasty note to the woman next door.","The waiter handed the man a menu.",0,TRUE,0,TRUE
"15","0uj1405b20200308","DOI","n","The photographer showed the editor them finished proofs.","The salesman shows off the car.",1,TRUE,0,TRUE
"16","0uj1405b20200308","POC","y","The mother gave the expensive toy to the hungry toddler.","A waiter gives a chef a cane.",0,TRUE,0,TRUE
"17","0uj1405b20200308","DOI","n","The spy handed the double agent them submarine blueprints.","The nurse hands a doctor his stethoscope.",0,TRUE,0,TRUE
"18","0uj1405b20200308","POI","n","The researcher gave the detailed results to them experienced surgeon.","The sailor gives a soldier tea.",0,TRUE,0,TRUE
"19","0uj1405b20200308","DOC","y","The woman gave the new neighbor the rusty bike.","A father gives her daughter a present.",0,TRUE,0,TRUE
"20","0uj1405b20200308","POI","n","The builder showed the blueprints to they new client.","The students show their teacher a present.",0,TRUE,0,TRUE
"21","1az8fajr20200228","DOC","y","The bartender handed the customer the cocktail.","the man handed the clown his hat",0,TRUE,0,TRUE
"22","1az8fajr20200228","POC","y","The mean neighbor handed a nasty note to the woman next door.","the waitress handed the customer the menu",0,TRUE,0,TRUE
"23","1az8fajr20200228","DOI","n","The secretary handed the manager they invoice.","the librarian handed the kid a book",0,TRUE,0,TRUE
"24","1az8fajr20200228","POI","n","The researcher gave the detailed results to them experienced surgeon.","the sailor gave the soldier a teapot",0,TRUE,0,TRUE
"25","1az8fajr20200228","DOC","y","The teacher handed the student the certificate.","the person handed the musician his guitar",0,TRUE,0,TRUE
"26","1az8fajr20200228","POI","n","The builder showed the blueprints to they new client.","the kids showed their mom their painting",0,TRUE,0,TRUE
"27","1az8fajr20200228","DOC","y","The happy child showed her father the coloring book.","the man is showing the cashier a gun",0,TRUE,0,TRUE
"28","1az8fajr20200228","POI","n","The swimmer handed the towel to they driver.","the lady is handing the man a paintbrush",0,TRUE,0,TRUE
"29","1az8fajr20200228","DOI","n","The disgruntled employee gave the manager them long letter.","the officer is giving the man a ticket",0,TRUE,0,TRUE
"30","1az8fajr20200228","POC","y","The good looking bartender handed free drinks to the girls at the bar.","the girl is giving the man a letter",0,TRUE,0,TRUE
"31","1az8fajr20200228","DOI","n","The spy handed the double agent them submarine blueprints.","the nurse handed the doctor a tool",0,TRUE,0,TRUE
"32","1az8fajr20200228","POC","y","The travel agent gave the last ticket to the young fan.","the man is giving a gift to her",1,TRUE,1,TRUE
"33","1az8fajr20200228","DOI","n","The captain gave the old sailor they spare life jacket.","the son and daughter give the mom cake",0,TRUE,0,TRUE
"34","1az8fajr20200228","POC","y","The mother gave the expensive toy to the hungry toddler.","the waitress gives the cane to the chef",1,TRUE,1,TRUE
"35","1az8fajr20200228","DOC","y","The fashion designer gave the famous journalist the pink jacket.","the nurse gave the patient some food",0,TRUE,0,TRUE
"36","1az8fajr20200228","POI","n","The eager boyfriend handed the box of flowers to them girlfriend.","the girlfriend handed the man his frisbee",0,TRUE,0,TRUE
"37","1az8fajr20200228","DOI","n","The photographer showed the editor them finished proofs.","the salesman is showing the couple a car",0,TRUE,0,TRUE
"38","1az8fajr20200228","POC","y","The architect showed the model of the building to the architect.","the woman is showing the man a shirt",0,TRUE,0,TRUE
"39","1az8fajr20200228","DOC","y","The woman gave the new neighbor the rusty bike.","the man is giving a gift",1,TRUE,0,TRUE
"40","1az8fajr20200228","POI","n","The millionaire gave the valuable painting to they struggling artist.","the girl is giving flowers to the woman",1,TRUE,0,TRUE
"41","1xfwyety20200129","DOC","y","The teacher handed the student the certificate.","He hands the guitar to the singer",1,TRUE,1,TRUE
"42","1xfwyety20200129","POC","y","The mean neighbor handed a nasty note to the woman next door.","She hands him a menu",0,TRUE,0,TRUE
"43","1xfwyety20200129","DOI","n","The disgruntled employee gave the manager them long letter.","The officer gives the man a ticket",0,TRUE,0,TRUE
"44","1xfwyety20200129","POI","n","The swimmer handed the towel to they driver.","She hands him the brush",0,TRUE,0,TRUE
"45","1xfwyety20200129","DOC","y","The bartender handed the customer the cocktail.","He hands the clown a hat",0,TRUE,0,TRUE
"46","1xfwyety20200129","POC","y","The travel agent gave the last ticket to the young fan.","He gives her his heart",0,FALSE,0,TRUE
"47","1xfwyety20200129","DOC","y","The happy child showed her father the coloring book.","He shows the gun to the judge",1,TRUE,1,TRUE
"48","1xfwyety20200129","POC","y","The mother gave the expensive toy to the hungry toddler.","She gives him her cane",0,FALSE,0,TRUE
"49","1xfwyety20200129","DOI","n","The spy handed the double agent them submarine blueprints.","She hands the stethoscope to the doctor",1,TRUE,1,TRUE
"50","1xfwyety20200129","POC","y","The architect showed the model of the building to the architect.","She shows him a dress",0,TRUE,0,TRUE
"51","1xfwyety20200129","DOI","n","The captain gave the old sailor they spare life jacket.","She gives him a cake",0,TRUE,0,TRUE
"52","1xfwyety20200129","POI","n","The millionaire gave the valuable painting to they struggling artist.","She gives her flowers",0,TRUE,0,TRUE
"53","1xfwyety20200129","DOC","y","The woman gave the new neighbor the rusty bike.","He gives her a toy",0,TRUE,0,TRUE
"54","1xfwyety20200129","POI","n","The researcher gave the detailed results to them experienced surgeon.","He gives him a teapot",0,TRUE,0,TRUE
"55","1xfwyety20200129","DOI","n","The photographer showed the editor them finished proofs.","He shows his car",0,TRUE,0,TRUE
"56","1xfwyety20200129","POC","y","The good looking bartender handed free drinks to the girls at the bar.","She hands him the chalk",0,TRUE,0,TRUE
"57","1xfwyety20200129","DOI","n","The secretary handed the manager they invoice.","She hands him a book",0,TRUE,0,TRUE
"58","1xfwyety20200129","POI","n","The builder showed the blueprints to they new client.","They show the teacher a painting",0,TRUE,0,TRUE
"59","1xfwyety20200129","DOC","y","The fashion designer gave the famous journalist the pink jacket.","She gives him water",0,TRUE,0,TRUE
"60","1xfwyety20200129","POI","n","The eager boyfriend handed the box of flowers to them girlfriend.","She hands him the frisbee",0,TRUE,0,TRUE
"61","2g561hrg20200114","DOC","y","The fashion designer gave the famous journalist the pink jacket.","She gave him medicine.",0,TRUE,0,TRUE
"62","2g561hrg20200114","POI","n","The researcher gave the detailed results to them experienced surgeon.","The sailor gave a teapot to the soldier.",1,TRUE,1,TRUE
"63","2g561hrg20200114","DOC","y","The teacher handed the student the certificate.","She handed the guitar to him.",1,TRUE,1,TRUE
"64","2g561hrg20200114","POC","y","The mother gave the expensive toy to the hungry toddler.","The waitress gave the cane to the chef.",1,TRUE,1,TRUE
"65","2g561hrg20200114","DOI","n","The disgruntled employee gave the manager them long letter.","The cop gave him a ticket.",0,TRUE,0,TRUE
"66","2g561hrg20200114","POC","y","The travel agent gave the last ticket to the young fan.","He gave her a heart.",0,TRUE,0,TRUE
