Trial,subjID,resp_iscorrect,verif_rt,descr_rt,T_verb,P_type,verif_ans,P_sentence,clear_responses,isactive,syn_voice,syn_corr,error_type_old,error_type,message
1,1,0,2.559166667,9.631944444,slap,AC,0,The cowboy slaps the ballerina.,A policeman slaps a boxer.,1,A,C,,0,
2,1,0,3.077222222,5.109722222,slap,PC,0,The nurse is slapped by  the policeman.,A cowboy slaps a dancer.,1,P,C,,0,
3,1,1,2.178611111,4.281944444,scold,AC,0,The waitress scolds the boxer.,A policeman scolds a dancer.,1,A,C,,0,
4,1,1,1.142222222,7.233055556,follow,PC,1,The ballerina is followed by the pirate.,A person follows a soldier.,1,P,C,,0,
5,1,0,1.6,5.953055556,push,AI,1,The chef push the clown.,A cowboy pushes a swimmer away.,1,A,I,,0,
6,1,1,1.170555556,4.236944444,chase,PC,1,The monk is chased by the policeman.,A pirate chases a robber.,1,P,C,,0,
7,1,1,1.274166667,4.606111111,kiss,AC,1,The artist kisses the ballerina.,A nun kisses a boxer.,1,A,C,,0,
8,1,1,0.7416666667,4.116388889,kiss,PC,1,The boxer is kissed by the artist.,A nun sends a dancer a kiss.,,P,C,,2,
9,1,0,1.066388889,4.147222222,follow,AC,0,The nun follows the cowboy.,A pirate follows a doctor.,1,A,C,,0,
10,1,1,0.8819444444,6.401666667,scold,PC,1,The doctor is scolded by the professor.,A policeman scolds a boxer.,1,P,C,,0,
11,1,1,1.509166667,6.814166667,touch,AI,0,The waitress touch the professor.,A sailor touches a swimmer.,1,A,I,,0,
12,1,0,0.8405555556,3.730833333,shoot,PI,1,The ballerina is shooted by the artist.,The chef shoots the swimmer.,1,P,I,,0,
13,1,1,0.9097222222,5.080833333,follow,AC,1,The nun follows the doctor.,A pirate follows a sailor.,1,A,C,,0,
14,1,1,0.9769444444,5.213611111,follow,PC,0,The ballerina is followed by the pirate.,A nun follows a boxer.,1,P,C,,0,
15,1,0,0.8161111111,5.971944444,kick,AI,1,The policeman kick the boxer.,The waitress kicks the customer.,1,A,I,,0,
16,1,1,1.202222222,3.384722222,pull,PI,0,The waitress is pullen by the pirate.,A boxer pulls a clown.,1,P,I,,0,
17,1,1,0.8563888889,5.312222222,punch,AC,1,The cowboy punches the swimmer.,An artist punches a clown.,1,A,C,,0,
18,1,0,0.925,5.332222222,tickle,PI,1,The robber is ticklen by the soldier.,A waitress tickles a monk.,1,P,I,,0,
19,1,1,0.9188888889,5.655277778,chase,AC,1,The nun chases the sailor.,The policeman chases the robber.,1,A,C,,0,
20,1,1,0.7436111111,5.656111111,kick,PI,0,The clown is kicken by the nun.,The waitress kicks the robber.,1,P,I,,0,
21,1,1,0.7316666667,4.6075,slap,AC,1,The cowboy slaps the professor.,A policeman slaps a swimmer.,1,A,C,,0,
22,1,1,0.79,5.660833333,scold,PC,0,The monk is scolded by the swimmer.,A professor scolds a soldier.,1,P,C,,0,
23,1,1,0.7855555556,3.494166667,punch,AC,0,The cowboy punches the nun.,The artist punched a monk.,1,A,C,,0,
24,1,1,0.7413888889,4.306666667,chase,PC,0,The swimmer is chased by the nun.,The doctor is chased by the waitress.,0,P,C,,0,
25,1,0,1.797222222,7.218611111,pull,AI,1,The boxer pull the soldier.,The pirate pulls the ballerina,1,A,I,,0,
26,1,1,0.8416666667,4.111111111,slap,PC,1,The clown is slapped by the policeman.,The cowboy slaps the sailor.,1,P,C,,0,
27,1,1,1.001944444,4.359444444,tickle,AI,0,The soldier tickle the boxer.,The waitress tickles the doctor.,1,A,I,,0,
28,1,1,0.6838888889,5.034444444,punch,PC,1,The ballerina is punched by the artist.,A cowboy punches a doctor.,1,P,C,,0,
29,1,1,1.084444444,3.423055556,shoot,AI,0,The actress shoot the robber.,The chef shoots a boxer.,1,A,I,,0,
30,1,1,1.384722222,7.083888889,punch,PC,0,The policeman is punched by the artist.,The cowboy punched a dancer.,1,P,C,,0,
31,1,1,2.132222222,6.921666667,chase,AC,0,The policeman chases the robber.,A policeman chases a swimmer.,1,A,C,,0,
32,1,1,0.7688888889,4.766666667,push,PI,0,The monk is pushen by the policeman.,The cowboy pushed the ballerina.,1,P,I,,0,
33,1,1,0.8880555556,4.549166667,kiss,AC,0,The pirate kisses the clown.,The artist kisses a soldier.,1,A,C,,0,
34,1,0,0.6838888889,4.091388889,touch,PI,1,The doctor is touchen by the waitress.,The sailor touched the clown.,1,P,I,,0,
35,1,1,0.8302777778,3.826666667,scold,AC,1,The policeman scolds the doctor.,A professor scolds a sailor.,1,A,C,,0,
36,1,1,0.8136111111,3.806388889,kiss,PC,0,The monk is kissed by the swimmer.,An artist kisses a clown.,1,P,C,,0,
37,3,1,0.8636111111,4.921666667,pull,AI,1,The boxer pull the soldier.,Thief pull the girl.,1,A,I,,1,
38,3,0,2.614444444,6.291944444,push,PI,0,The monk is pushen by the policeman.,The girl is pushen by the cowboy.,0,P,I,,1,
